Date,Apple_Price,Apple_Vol.
2024-05-29,190.29,53068020.0
2024-05-28,189.99,52280050.0
2024-05-24,189.98,36326980.0
2024-05-23,186.88,51005920.0
2024-05-22,190.9,34648550.0
2024-05-21,192.35,42309400.0
2024-05-20,191.04,44361280.0
2024-05-17,189.87,41282930.0
2024-05-16,189.84,52845230.0
2024-05-15,189.72,70399990.0
2024-05-14,187.43,52393620.0
2024-05-13,186.28,72044810.0
2024-05-10,183.05,50759500.0
2024-05-09,184.57,48982970.0
2024-05-08,182.74,45057090.0
2024-05-07,182.4,77305770.0
2024-05-06,181.71,78569670.0
2024-05-03,183.38,163224100.0
2024-05-02,173.03,94214920.0
2024-05-01,169.3,50383150.0
2024-04-30,170.33,65934780.0
2024-04-29,173.5,68169420.0
2024-04-26,169.3,44838350.0
2024-04-25,169.89,50558330.0
2024-04-24,169.02,48251840.0
2024-04-23,166.9,49537760.0
2024-04-22,165.84,48116440.0
2024-04-19,165.0,68149380.0
2024-04-18,167.04,43122900.0
2024-04-17,168.0,50901210.0
2024-04-16,169.38,73711240.0
2024-04-15,172.69,73531770.0
2024-04-12,176.55,101670900.0
2024-04-11,175.04,91070280.0
2024-04-10,167.78,49709340.0
2024-04-09,169.67,42451210.0
2024-04-08,168.45,37425510.0
2024-04-05,169.58,42104830.0
2024-04-04,168.82,53704390.0
2024-04-03,169.65,47691720.0
2024-04-02,168.84,49329480.0
2024-04-01,170.03,46240500.0
2024-03-28,171.48,65672690.0
2024-03-27,173.31,60273270.0
2024-03-26,169.71,57388450.0
2024-03-25,170.85,54288330.0
2024-03-22,172.28,71160140.0
2024-03-21,171.37,106181300.0
2024-03-20,178.67,53423100.0
2024-03-19,176.08,55215240.0
2024-03-18,173.72,75604180.0
2024-03-15,172.62,121752700.0
2024-03-14,173.0,72913510.0
2024-03-13,171.13,52488690.0
2024-03-12,173.23,59825370.0
2024-03-11,172.75,60139470.0
2024-03-08,170.73,76267040.0
2024-03-07,169.0,71765060.0
2024-03-06,169.12,68587710.0
2024-03-05,170.12,95132360.0
2024-03-04,175.1,81510100.0
2024-03-01,179.66,73563080.0
2024-02-29,180.75,136682600.0
2024-02-28,181.42,48953940.0
2024-02-27,182.63,54318850.0
2024-02-26,181.16,40867420.0
2024-02-23,182.52,45119680.0
2024-02-22,184.37,52292210.0
2024-02-21,182.32,41529670.0
2024-02-20,181.56,53665550.0
2024-02-16,182.31,49752470.0
2024-02-15,183.86,65434500.0
2024-02-14,184.15,54630520.0
2024-02-13,185.04,56529530.0
2024-02-12,187.15,41781930.0
2024-02-09,188.85,45155220.0
2024-02-08,188.32,40962050.0
2024-02-07,189.41,53438960.0
2024-02-06,189.3,43490760.0
2024-02-05,187.68,69668820.0
2024-02-02,185.85,102551700.0
2024-02-01,186.86,64885410.0
2024-01-31,184.4,55467800.0
2024-01-30,188.04,55859370.0
2024-01-29,191.73,47145620.0
2024-01-26,192.42,44594010.0
2024-01-25,194.17,54822130.0
2024-01-24,194.5,53631320.0
2024-01-23,195.18,42355590.0
2024-01-22,193.89,60133850.0
2024-01-19,191.56,68902990.0
2024-01-18,188.63,78005750.0
2024-01-17,182.68,47317430.0
2024-01-16,183.63,65603040.0
2024-01-12,185.92,40477780.0
2024-01-11,185.59,49128410.0
2024-01-10,186.19,46792910.0
2024-01-09,185.14,42841810.0
2024-01-08,185.56,59144470.0
2024-01-05,181.18,62379660.0
2024-01-04,181.91,71983570.0
2024-01-03,184.25,58414460.0
2024-01-02,185.64,82488670.0
2023-12-29,192.53,42672150.0
2023-12-28,193.58,34049900.0
2023-12-27,193.15,48087680.0
2023-12-26,193.05,28919310.0
2023-12-22,193.6,37149570.0
2023-12-21,194.68,46482550.0
2023-12-20,194.83,52242820.0
2023-12-19,196.94,40714050.0
2023-12-18,195.89,55751860.0
2023-12-15,197.57,128538400.0
2023-12-14,198.11,66831570.0
2023-12-13,197.96,70404180.0
2023-12-12,194.71,52696900.0
2023-12-11,193.18,60943700.0
2023-12-08,195.71,53406360.0
2023-12-07,194.27,47477660.0
2023-12-06,192.32,41089740.0
2023-12-05,193.42,66628400.0
2023-12-04,189.43,43389520.0
2023-12-01,191.24,45704820.0
2023-11-30,189.95,48794370.0
2023-11-29,189.37,43014220.0
2023-11-28,190.4,38415420.0
2023-11-27,189.79,40552610.0
2023-11-24,189.97,24048340.0
2023-11-22,191.31,39630010.0
2023-11-21,190.64,38134490.0
2023-11-20,191.45,46538610.0
2023-11-17,189.69,50941400.0
2023-11-16,189.71,54412920.0
2023-11-15,188.01,53790500.0
2023-11-14,187.44,60108380.0
2023-11-13,184.8,43627520.0
2023-11-10,186.4,66177920.0
2023-11-09,182.41,53763540.0
2023-11-08,182.89,49340280.0
2023-11-07,181.82,70529970.0
2023-11-06,179.23,63841310.0
2023-11-03,176.65,79829250.0
2023-11-02,177.57,77334750.0
2023-11-01,173.97,56934910.0
2023-10-31,170.77,44846020.0
2023-10-30,170.29,51130960.0
2023-10-27,168.22,58499130.0
2023-10-26,166.89,70625260.0
2023-10-25,171.1,57156960.0
2023-10-24,173.44,43816640.0
2023-10-23,173.0,55980110.0
2023-10-20,172.88,64244030.0
2023-10-19,175.46,59302860.0
2023-10-18,175.84,54764380.0
2023-10-17,177.15,57549350.0
2023-10-16,178.72,52516980.0
2023-10-13,178.85,51456080.0
2023-10-12,180.71,56743120.0
2023-10-11,179.8,47551100.0
2023-10-10,178.39,43698020.0
2023-10-09,178.99,42390770.0
2023-10-06,177.49,57266680.0
2023-10-05,174.91,48527920.0
2023-10-04,173.66,53020290.0
2023-10-03,172.4,49594610.0
2023-10-02,173.75,52164540.0
2023-09-29,171.21,51861080.0
2023-09-28,170.69,56294420.0
2023-09-27,170.43,66921810.0
2023-09-26,171.96,64588950.0
2023-09-25,176.08,46172740.0
2023-09-22,174.79,56725390.0
2023-09-21,173.93,63149120.0
2023-09-20,175.49,58436180.0
2023-09-19,179.07,51826940.0
2023-09-18,177.97,67257570.0
2023-09-15,175.01,109259500.0
2023-09-14,175.74,60895760.0
2023-09-13,174.21,84267930.0
2023-09-12,176.3,90370190.0
2023-09-11,179.36,58953050.0
2023-09-08,178.18,65602070.0
2023-09-07,177.56,112488800.0
2023-09-06,182.91,81755820.0
2023-09-05,189.7,45280030.0
2023-09-01,189.46,45766500.0
2023-08-31,187.87,60794470.0
2023-08-30,187.65,60813890.0
2023-08-29,184.12,53003950.0
2023-08-28,180.19,43820700.0
2023-08-25,178.61,51449590.0
2023-08-24,176.38,54945800.0
2023-08-23,181.12,52722750.0
2023-08-22,177.23,42084250.0
2023-08-21,175.84,46311880.0
2023-08-18,174.49,61172150.0
2023-08-17,174.0,66062880.0
2023-08-16,176.57,46964860.0
2023-08-15,177.45,43622590.0
2023-08-14,179.46,43675630.0
2023-08-11,177.79,52036670.0
2023-08-10,177.97,54686850.0
2023-08-09,178.19,60378490.0
2023-08-08,179.8,67823000.0
2023-08-07,178.85,97576070.0
2023-08-04,181.99,115956800.0
2023-08-03,191.17,62243280.0
2023-08-02,192.58,50389330.0
2023-08-01,195.61,35281430.0
2023-07-31,196.45,38824110.0
2023-07-28,195.83,48291440.0
2023-07-27,193.22,47460180.0
2023-07-26,194.5,47471870.0
2023-07-25,193.62,37283200.0
2023-07-24,192.75,45505100.0
2023-07-21,191.94,71951680.0
2023-07-20,193.13,59581200.0
2023-07-19,195.1,80507320.0
2023-07-18,193.73,48353770.0
2023-07-17,193.99,50520160.0
2023-07-14,190.69,41616240.0
2023-07-13,190.54,41342340.0
2023-07-12,189.77,60750250.0
2023-07-11,188.08,46638120.0
2023-07-10,188.61,59922160.0
2023-07-07,190.68,46815000.0
2023-07-06,191.81,45156010.0
2023-07-05,191.33,46920260.0
2023-07-03,192.46,31346600.0
2023-06-30,193.97,85213220.0
2023-06-29,189.59,46347310.0
2023-06-28,189.25,51216800.0
2023-06-27,188.06,50730850.0
2023-06-26,185.27,48088660.0
2023-06-23,186.68,53117000.0
2023-06-22,187.0,51245330.0
2023-06-21,183.96,49515700.0
2023-06-20,185.01,49799090.0
2023-06-16,184.92,101256200.0
2023-06-15,186.01,65433170.0
2023-06-14,183.95,57462880.0
2023-06-13,183.31,54929130.0
2023-06-12,183.79,54755000.0
2023-06-09,180.96,48899970.0
2023-06-08,180.57,50214880.0
2023-06-07,177.82,61944620.0
2023-06-06,179.21,64848370.0
2023-06-05,179.58,121946500.0
2023-06-02,180.95,61996910.0
2023-06-01,180.09,68901810.0
2023-05-31,177.25,99625290.0
2023-05-30,177.3,55964400.0
2023-05-26,175.43,54834980.0
2023-05-25,172.99,56058260.0
2023-05-24,171.84,45143490.0
2023-05-23,171.56,50747260.0
2023-05-22,174.2,43570930.0
2023-05-19,175.16,55809480.0
2023-05-18,175.05,65496660.0
2023-05-17,172.69,57951600.0
2023-05-16,172.07,42110290.0
2023-05-15,172.07,37266660.0
2023-05-12,172.57,45533140.0
2023-05-11,173.75,49514680.0
2023-05-10,173.56,53724500.0
2023-05-09,171.77,45326870.0
2023-05-08,173.5,55962790.0
2023-05-05,173.57,113453200.0
2023-05-04,165.79,81235430.0
2023-05-03,167.45,65136020.0
2023-05-02,168.54,48425700.0
2023-05-01,169.59,52472940.0
2023-04-28,169.68,55275850.0
2023-04-27,168.41,64902330.0
2023-04-26,163.76,45498800.0
2023-04-25,163.77,48714060.0
2023-04-24,165.33,41949580.0
2023-04-21,165.02,58337340.0
2023-04-20,166.65,52456380.0
2023-04-19,167.63,47720170.0
2023-04-18,166.47,49923010.0
2023-04-17,165.23,41516220.0
2023-04-14,165.21,49386480.0
2023-04-13,165.56,68445650.0
2023-04-12,160.1,50133060.0
2023-04-11,160.8,47644220.0
2023-04-10,162.03,47716880.0
2023-04-06,164.66,45390120.0
2023-04-05,163.76,51511740.0
2023-04-04,165.63,46278300.0
2023-04-03,166.17,56976190.0
2023-03-31,164.9,68749790.0
2023-03-30,162.36,49501690.0
2023-03-29,160.77,51305690.0
2023-03-28,157.65,45992150.0
2023-03-27,158.28,52390270.0
2023-03-24,160.25,59256340.0
2023-03-23,158.93,67622060.0
2023-03-22,157.83,75701810.0
2023-03-21,159.28,73938290.0
2023-03-20,157.4,73641420.0
2023-03-17,155.0,98944630.0
2023-03-16,155.85,76254420.0
2023-03-15,152.99,77167870.0
2023-03-14,152.59,73695890.0
2023-03-13,150.47,84457120.0
2023-03-10,148.5,68572400.0
2023-03-09,150.59,53833580.0
2023-03-08,152.87,47204790.0
2023-03-07,151.6,56182030.0
2023-03-06,153.83,87558030.0
2023-03-03,151.03,70732300.0
2023-03-02,145.91,52279760.0
2023-03-01,145.31,55478990.0
2023-02-28,147.41,50547000.0
2023-02-27,147.92,44998470.0
2023-02-24,146.71,55469610.0
2023-02-23,149.4,48394250.0
2023-02-22,148.91,51011310.0
2023-02-21,148.48,58867230.0
2023-02-17,152.55,59144120.0
2023-02-16,153.71,68167940.0
2023-02-15,155.33,65669250.0
2023-02-14,153.2,61707570.0
2023-02-13,153.85,62199010.0
2023-02-10,151.01,57450710.0
2023-02-09,150.87,56007140.0
2023-02-08,151.92,64120080.0
2023-02-07,154.65,83322550.0
2023-02-06,151.73,69858310.0
2023-02-03,154.5,154357300.0
2023-02-02,150.82,118339000.0
2023-02-01,145.43,77663630.0
2023-01-31,144.29,65874460.0
2023-01-30,143.0,64015270.0
2023-01-27,145.93,70555840.0
2023-01-26,143.96,54105070.0
2023-01-25,141.86,65799350.0
2023-01-24,142.53,66435140.0
2023-01-23,141.11,81760310.0
2023-01-20,137.87,80223630.0
2023-01-19,135.27,58280410.0
2023-01-18,135.21,69672800.0
2023-01-17,135.94,63646630.0
2023-01-13,134.76,57809720.0
2023-01-12,133.41,71379650.0
2023-01-11,133.49,69458950.0
2023-01-10,130.73,63896160.0
2023-01-09,130.15,70790810.0
2023-01-06,129.62,87754720.0
2023-01-05,125.02,80962710.0
2023-01-04,126.36,89113630.0
2023-01-03,125.07,112117500.0
2022-12-30,129.93,77034210.0
2022-12-29,129.61,75703710.0
2022-12-28,126.04,85438390.0
2022-12-27,130.03,69007830.0
2022-12-23,131.86,63814890.0
2022-12-22,132.23,77852110.0
2022-12-21,135.45,85927990.0
